SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5232 Don Valdez Dr,Carlsbad,CA,92010,689900,3,2.0,Carlsbad West,1634,,2000,1,422,394,Active,,,https://www.redfin.com/CA/Carlsbad/5232-Don-Valdez-Dr-92010/home/17198250,SDMLS,230018255,N,Y,33.149277,-117.2940407
MLS Listing,,Single Family Residential,915 Crest View Rd,Vista,CA,92081,825000,3,2.0,92081 - Vista,1625,8276,1956,1,508,,Active,,,https://www.redfin.com/CA/Vista/915-Crest-View-Rd-92081/home/3507520,CRMLS,NDP2307279,N,Y,33.1861318,-117.2366705
MLS Listing,,Multi-Family (2-4 Unit),4671-73 Terrace,Kensington,CA,92116,2295000,6,4.0,Kensington,2530,6210,1950,1,907,,Active,,,https://www.redfin.com/CA/KENSINGTON/4671-4673-Terrace-92116/home/187529896,SDMLS,230018254,N,Y,32.76273,-117.108102
MLS Listing,,Single Family Residential,1867 Rocrest Rd,Alpine,CA,91901,1499900,4,3.0,91901 - Alpine,3219,125888,1994,1,466,,Active,,,https://www.redfin.com/CA/Alpine/1867-Rocrest-Rd-91901/home/5114819,CRMLS,PTP2304537,N,Y,32.8276491,-116.796946
MLS Listing,,Single Family Residential,474 Solana Real,Fallbrook,CA,92028,1498747,4,3.0,92028 - Fallbrook,3549,74052,1989,1,422,,Pre On-Market,,,https://www.redfin.com/CA/Fallbrook/474-Solana-Real-92028/home/3104817,CRMLS,NDP2307278,N,Y,33.2995421,-117.2582653
MLS Listing,,Single Family Residential,28091 Moosa Creek Way,Valley Center,CA,92582,822278,4,3.0,92082 - Valley Center,2660,6134,2023,1,309,246,Active,,,https://www.redfin.com/CA/Valley-Center/28091-Moosa-Creek-Way-92082/home/175239271,CRMLS,EV23174084,N,Y,33.218248,-117.03626
MLS Listing,,Single Family Residential,28087 Moosa Creek Way,Valley Center,CA,92582,827181,4,3.0,92082 - Valley Center,2660,5595,2023,1,311,246,Active,,,https://www.redfin.com/CA/Valley-Center/28087-Moosa-Creek-Way-92082/home/175239270,CRMLS,EV23174088,N,Y,33.218106,-117.036263
MLS Listing,,Single Family Residential,28095 Moosa Creek Way,Valley Center,CA,92082,780944,3,2.0,92082 - Valley Center,2080,7156,2023,1,375,246,Active,,,https://www.redfin.com/CA/Valley-Center/28095-Moosa-Creek-Way-92082/home/175239272,CRMLS,EV23174080,N,Y,33.218404,-117.03627
MLS Listing,,Single Family Residential,19328 Japatul Rd,Alpine,CA,91901,999000,5,5.0,91901 - Alpine,3360,1742400,1948,1,297,,Active,,,https://www.redfin.com/CA/Alpine/19328-Japatul-Rd-91901/home/184250390,CRMLS,PTP2304536,N,Y,32.7934059,-116.7324484
MLS Listing,,Mobile/Manufactured Home,3365 Swinging V Rd,Borrego Springs,CA,92004,250000,2,2.0,Borrego Springs,1560,46174,1992,1,160,,Active,,,https://www.redfin.com/CA/Borrego-Springs/3365-Swinging-V-Rd-92004/home/3633741,SDMLS,230018250,N,Y,33.2258336,-116.3715485
MLS Listing,,Multi-Family (2-4 Unit),2044 Madison,University Heights,CA,92116,1495000,4,2.0,University Heights,,,1945,1,,,Active,,,https://www.redfin.com/CA/San-Diego/2044-Madison-Ave-92116/home/5292264,SDMLS,230018249,N,Y,32.7611811,-117.1428001
MLS Listing,,Single Family Residential,354 Canyon Ridge Dr,Bonita,CA,91902,1690000,5,3.0,Bonita,3032,11240,1989,1,557,,Active,,,https://www.redfin.com/CA/Bonita/354-Canyon-Ridge-Dr-91902/home/6083834,SDMLS,230018248,N,Y,32.6604847,-117.0027636
MLS Listing,,Single Family Residential,15955 Running Deer Trl,Poway,CA,92064,4190000,5,5.0,92064 - Poway,6583,402494,2007,1,636,,Active,September-19-2023 01:00 PM,September-19-2023 05:00 PM,https://www.redfin.com/CA/Poway/15955-Running-Deer-Trl-92064/home/7447274,CRMLS,SW23173653,N,Y,32.9934007,-116.9863
MLS Listing,,Mobile/Manufactured Home,12044 Royal Rd #62,El Cajon,CA,92021,59900,2,1.5,92021 - El Cajon,850,,1958,1,70,,Active,,,https://www.redfin.com/CA/El-Cajon/12044-Royal-Rd-92021/unit-62/home/177285241,CRMLS,MC23174018,N,Y,32.8248345,-116.932513
MLS Listing,,Condo/Co-op,3314 Dorado Pl,Carlsbad,CA,92009,1348000,3,2.0,92009 - Carlsbad,1453,367877,1980,2,928,32,Active,,,https://www.redfin.com/CA/Carlsbad/3314-Dorado-Pl-92009/home/3868410,CRMLS,NP23173539,N,Y,33.0837268,-117.2358491
MLS Listing,,Single Family Residential,16434 La Via Feliz,Rancho Santa Fe,CA,92067,5800000,5,5.5,Rancho Santa Fe,4550,,2017,2,1275,1,Active,,,https://www.redfin.com/CA/Rancho-Santa-Fe/16434-La-Via-Feliz-92067/home/4189969,SDMLS,230018247,N,Y,33.0126524,-117.1953558
MLS Listing,,Condo/Co-op,1388 Kettner #1907,San Diego,CA,92101,1249000,2,2.0,Downtown,1161,,2019,2,1076,1085,Active,,,https://www.redfin.com/CA/San-Diego/1388-Kettner-Blvd-92101/unit-1907/home/170146445,SDMLS,230018246,N,Y,32.719544,-117.16958
MLS Listing,,Mobile/Manufactured Home,410 S 1st #44,El Cajon,CA,92019,260000,2,2.0,El Cajon,880,,2023,2,295,,Active,,,https://www.redfin.com/CA/El-Cajon/410-S-1st-St-92019/unit-44/home/187528008,SDMLS,230018242,N,Y,32.7904861,-116.9463082
MLS Listing,,Single Family Residential,3560 Santa Maria,Oceanside,CA,92056,625000,2,1.0,92056 - Oceanside,827,3200,1973,2,756,,Active,,,https://www.redfin.com/CA/Oceanside/3560-Santa-Maria-St-92056/home/3385777,CRMLS,NDP2307171,N,Y,33.1856442,-117.3075041
MLS Listing,,Single Family Residential,2110 69TH St,Lemon Grove,CA,91945,1350000,5,3.0,Lemon Grove,3302,20133,1970,2,409,,Active,,,https://www.redfin.com/CA/Lemon-Grove/2110-69th-St-91945/home/5852286,SDMLS,230018241,N,Y,32.7278398,-117.0495031
MLS Listing,,Single Family Residential,7879-7881 La Mesa Blvd,La Mesa,CA,91942,1400000,3,3.0,La Mesa,2168,,1950,2,646,,Active,,,https://www.redfin.com/CA/La-Mesa/7879-La-Mesa-Blvd-91942/home/5488079,SDMLS,230018240,N,Y,32.7668281,-117.0281244
MLS Listing,,Townhouse,18088 Avenida Alozdra,San Diego,CA,92128,770000,2,2.0,Rancho Bernardo,1328,,1987,2,580,450,Active,,,https://www.redfin.com/CA/San-Diego/18088-Avenida-Alozdra-92128/home/4212804,SDMLS,230018238,N,Y,33.0422437,-117.0505398
MLS Listing,,Single Family Residential,3821 El Camino Real Unit A and B,Carlsbad,CA,92008,1795000,4,3.0,92008 - Carlsbad,2064,23522,1961,2,870,,Active,,,https://www.redfin.com/CA/Carlsbad/3821-El-Camino-Real-92008/unit-A-and-B/home/187527857,CRMLS,OC23173850,N,Y,33.1617444,-117.3201679
MLS Listing,,Single Family Residential,6549 Indian Trail Way,Fallbrook,CA,92028,1800000,3,4.0,92028 - Fallbrook,4540,112820,1983,2,396,,Pre On-Market,September-23-2023 11:00 AM,September-23-2023 04:00 PM,https://www.redfin.com/CA/Fallbrook/6549-Indian-Trail-Way-92028/home/3103610,CRMLS,NP23173420,N,Y,33.2979652,-117.2644197
